list,trial_num_python,condition,stimulus,position,corrResp,coin_img,devalued_coin,stimulus_choice1,stimulus_choice2,position1,position2,phase,corrResp1,corrResp2,outcome,cond_val,outcome_choice1,outcome_choice2,cond_val1,cond_val2,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,choice_trialLoop.thisRepN,choice_trialLoop.thisTrialN,choice_trialLoop.thisN,choice_trialLoop.thisIndex,contingency_trialLoop.thisRepN,contingency_trialLoop.thisTrialN,contingency_trialLoop.thisN,contingency_trialLoop.thisIndex,event,duration,globalClock_t,routineClock_t,trial,nResp_untilRnf,resp,wasRnf,n_repeat_training,credits_per_rnf,cost_response,min_resp_bet_rnf,max_resp_bet_rnf,mean_resp_bet_rnf,sigma_resp_bet_rnf,min_ITI,max_ITI,min_trial_duration,max_trial_duration,schedule,participant,age,gender,ethnicity,hand,date,expName,frameRate,Unnamed: 65
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,46.49804799701451,40.47868632090467,0.0,,down,0.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,47.48100766930656,41.46181021188022,0.0,,down,0.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,49.34872248127431,43.329357286191225,0.0,,down,0.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,51.51558420650326,45.49638938830685,0.0,,down,0.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,54.06705195497853,48.04764277274808,0.0,18.0,down,1.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,55.850115260989696,49.83092542800296,0.0,,down,0.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,57.8007358756513,51.781553373857605,0.0,,down,0.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,58.80103674774364,52.78185776491955,0.0,,down,0.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,59.76795137484805,53.74878030971013,0.0,,down,0.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,60.768302685530216,54.749119890489965,0.0,,down,0.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
1.0,0.0,resp1,stim/up_resp_img.png,"[0, 0.25]",down,stim/silver_coin.png,silver,,,,,training,,,silver,deval,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,training resp,,62.485559166085295,56.46637050608842,0.0,,down,0.0,5.0,40.0,1.0,5.0,30.0,15.0,5.0,15.0,30.0,30.0,60.0,RR,1.0,18.0,m,,right,2020_Feb_10_1715,habits_v_MRI,59.98773888812012,
